internal_entity_id,internal_security_id,canonical_name,entity_type,ticker,exchange,figi,isin,cusip,cik,lei,domain,country,aliases,parent_entity_id,parent_name,parent_entity_type,relationship_type,entity_valid_from,entity_valid_to,entity_status,security_valid_from,security_valid_to,security_status,relationship_valid_from,relationship_valid_to,relationship_status
entity:microsoft,security:msft,Microsoft Corporation,issuer,MSFT,NASDAQ,BBG000BPH459,US5949181045,594918104,0000789019,INR2EJN1ERAN0W5ZP974,microsoft.com,US,Microsoft Corp|Microsoft|MSFT Azure|Microsoft 365,,,,,1975-04-04,,ACTIVE,1986-03-13,,ACTIVE,,,
entity:github,,GitHub Inc,subsidiary,,,,,,,,github.com,US,GitHub|Git Hub|GitHub Copilot,entity:microsoft,Microsoft Corporation,issuer,subsidiary_of,2008-02-08,,ACTIVE,,,,2018-10-26,,ACTIVE
entity:linkedin,,LinkedIn Corporation,subsidiary,,,,,,,,linkedin.com,US,LinkedIn|LinkedIn Sales Navigator,entity:microsoft,Microsoft Corporation,issuer,subsidiary_of,2002-12-28,,ACTIVE,,,,2016-12-08,,ACTIVE
entity:amazon,security:amzn,Amazon.com Inc,issuer,AMZN,NASDAQ,BBG000BVPV84,US0231351067,023135106,0001018724,ZXTILKJKG63JELOEG630,amazon.com,US,Amazon|Amazon.com|Amazon Marketplace,,,,,1994-07-05,,ACTIVE,1997-05-15,,ACTIVE,,,
entity:aws,,Amazon Web Services Inc,subsidiary,,,,,,,,aws.amazon.com,US,AWS|Amazon Web Services,entity:amazon,Amazon.com Inc,issuer,subsidiary_of,2006-03-14,,ACTIVE,,,,2006-03-14,,ACTIVE
entity:whole-foods,,Whole Foods Market Inc,subsidiary,,,,,,,,wholefoodsmarket.com,US,Whole Foods|Whole Foods Market,entity:amazon,Amazon.com Inc,issuer,subsidiary_of,1980-09-20,,ACTIVE,,,,2017-08-28,,ACTIVE
entity:alphabet,security:googl,Alphabet Inc,issuer,GOOGL,NASDAQ,BBG009S39JX6,US02079K3059,02079K305,0001652044,5493006MHB84DD0ZWV18,abc.xyz,US,Alphabet|Alphabet Inc Class A,,,,,2015-10-02,,ACTIVE,2015-10-02,,ACTIVE,,,
entity:google,,Google LLC,subsidiary,,,,,,,,google.com,US,Google|Google Cloud|Google Workspace|GCP|Google Ads,entity:alphabet,Alphabet Inc,issuer,subsidiary_of,1998-09-04,,ACTIVE,,,,2015-10-02,,ACTIVE
entity:salesforce,security:crm,"Salesforce, Inc.",issuer,CRM,NYSE,BBG000BN2DC2,US79466L3024,79466L302,0001108524,C31Y1RQFAOY6DVJ3JG23,salesforce.com,US,Salesforce|Salesforce.com|SFDC,,,,,1999-02-03,,ACTIVE,2004-06-23,,ACTIVE,,,
entity:slack,,Slack Technologies LLC,subsidiary,,,,,,,,slack.com,US,Slack|Slack Technologies,entity:salesforce,"Salesforce, Inc.",issuer,subsidiary_of,2009-08-01,,ACTIVE,,,,2021-07-21,,ACTIVE
entity:adobe,security:adbe,Adobe Inc,issuer,ADBE,NASDAQ,BBG000BB5006,US00724F1012,00724F101,0000796343,549300P8Z9J4ZUZ9M694,adobe.com,US,Adobe|Adobe Systems|Adobe Creative Cloud,,,,,1983-12-01,,ACTIVE,1986-08-13,,ACTIVE,,,
entity:atlassian,security:team,Atlassian Corporation,issuer,TEAM,NASDAQ,BBG00YSTZ0X8,US0494681010,049468101,0001650372,549300RQFN1DZBW2GN27,atlassian.com,US,Atlassian|Jira|Confluence|Trello,,,,,2013-01-01,,ACTIVE,2015-12-10,,ACTIVE,,,
entity:zoom,security:zm,Zoom Communications Inc,issuer,ZM,NASDAQ,BBG0042V6JM8,US98980L1017,98980L101,0001585521,549300CGT8MTHKHBQL39,zoom.us,US,Zoom|Zoom Video|Zoom Video Communications,,,,,2011-04-21,,ACTIVE,2019-04-18,,ACTIVE,,,
entity:twilio,security:twlo,Twilio Inc,issuer,TWLO,NYSE,BBG0022P0T29,US90138F1021,90138F102,0001447669,5493003BR0GG6RIWHR58,twilio.com,US,Twilio|Twilio Inc Class A,,,,,2008-03-13,,ACTIVE,2016-06-23,,ACTIVE,,,
entity:sendgrid,,SendGrid Inc,subsidiary,,,,,,,,sendgrid.com,US,SendGrid|Twilio SendGrid,entity:twilio,Twilio Inc,issuer,subsidiary_of,2009-01-01,,ACTIVE,,,,2019-02-01,,ACTIVE
entity:broadcom,security:avgo,Broadcom Inc,issuer,AVGO,NASDAQ,BBG00KHY5S69,US11135F1012,11135F101,0001730168,549300WV6GIDOZJTV909,broadcom.com,US,Broadcom|Broadcom Inc,,,,,2018-04-04,,ACTIVE,2018-04-04,,ACTIVE,,,
entity:vmware,,VMware LLC,subsidiary,,,,,,,,vmware.com,US,VMware|VMware Inc|VMware Cloud,entity:broadcom,Broadcom Inc,issuer,subsidiary_of,1998-02-10,,ACTIVE,,,,2023-11-22,,ACTIVE
entity:starbucks,security:sbux,Starbucks Corporation,issuer,SBUX,NASDAQ,BBG000CTQBF3,US8552441094,855244109,0000829224,GNZUL8GTJZBUXVZ2K794,starbucks.com,US,Starbucks|Starbucks Coffee,,,,,1971-03-30,,ACTIVE,1992-06-26,,ACTIVE,,,
entity:delta,security:dal,Delta Air Lines Inc,issuer,DAL,NYSE,BBG000R7Z112,US2473617023,247361702,0000027904,5493000K34QG9UBPT324,delta.com,US,Delta|Delta Airlines|Delta Air Lines,,,,,1928-05-30,,ACTIVE,2007-05-03,,ACTIVE,,,
entity:marriott,security:mar,Marriott International Inc,issuer,MAR,NASDAQ,BBG000BGGRW1,US5719032022,571903202,0001048286,549300TP1UZL5Y3LFV14,marriott.com,US,Marriott|Marriott International|Courtyard by Marriott,,,,,1993-01-01,,ACTIVE,1998-03-27,,ACTIVE,,,
entity:uber,security:uber,"Uber Technologies, Inc.",issuer,UBER,NYSE,BBG002B04MT8,US90353T1007,90353T100,0001543151,549300WW7ISGT7ITHE49,uber.com,US,Uber|Uber Technologies|Uber Eats,,,,,2009-03-01,,ACTIVE,2019-05-10,,ACTIVE,,,
entity:apple,security:aapl,Apple Inc,issuer,AAPL,NASDAQ,BBG000B9XRY4,US0378331005,037833100,0000320193,HWUPKR0MPOU8FGXBT394,apple.com,US,Apple|Apple Inc|Apple Computer,,,,,1976-04-01,,ACTIVE,1980-12-12,,ACTIVE,,,
entity:apple-bank,,Apple Bank for Savings,legal_entity,,,,,,,,applebank.com,US,Apple Bank|Apple Bank Savings,,,,,1863-01-01,,ACTIVE,,,,,,
entity:northwind-catering,,Northwind Catering LLC,private,,,,,,,,northwindcatering.example,US,Northwind Catering|Northwind,,,,,2011-06-01,,ACTIVE,,,,,,
