txn_id,posted_date,merchant_descriptor,mcc,merchant_city,merchant_state,country_code,merchant_url,amount_usd,cost_center
TXN-2001,04/02/2025,MICROSOFT*ULTIMATE OF,5734,REDMOND,WA,US,,1249.00,IT-Software
TXN-2002,11/02/2025,MSFT * E0800ABC12,5734,MSBILL.INFO,WA,US,,8420.35,IT-Infrastructure
TXN-2003,03/03/2025,GITHUB.COM,7372,SAN FRANCISCO,CA,US,github.com,840.00,Engineering
TXN-2004,19/03/2025,LINKEDIN-1234567890,7311,SUNNYVALE,CA,US,,1560.00,Sales
TXN-2005,22/03/2025,AMZN Mktp US*RT4X92LK0,5943,AMZN.COM/BILL,WA,US,,318.74,Office-Supplies
TXN-2006,05/04/2025,AMAZON WEB SERVICES AW,7372,SEATTLE,WA,US,,15230.11,IT-Infrastructure
TXN-2007,09/04/2025,WHOLEFDS SEA 10245,5411,SEATTLE,WA,US,,142.88,Office-Pantry
TXN-2008,14/04/2025,GOOGLE *CLOUD_4H2KQ9,7372,MOUNTAIN VIEW,CA,US,,6110.42,IT-Infrastructure
TXN-2009,21/04/2025,GOOGLE *ADS8829471,7311,MOUNTAIN VIEW,CA,US,,22400.00,Marketing
TXN-2010,02/05/2025,SALESFORCE.COM,7372,SAN FRANCISCO,CA,US,salesforce.com,31500.00,Sales
TXN-2011,08/05/2025,SLACK T0293ABC,7372,SAN FRANCISCO,CA,US,,2280.00,Operations
TXN-2012,16/05/2025,ADOBE *CREATIVE CLOUD,5734,SAN JOSE,CA,US,,979.00,Design
TXN-2013,01/07/2025,ADOBE INC ENTERPRISE,5734,SAN JOSE,CA,US,,44000.00,Design
TXN-2014,23/05/2025,ATLASSIAN * JIRA,7372,SYDNEY,,AU,,1830.50,Engineering
TXN-2015,29/05/2025,ZOOM.US 888-799-9666,7372,SAN JOSE,CA,US,zoom.us,449.90,Operations
TXN-2016,06/06/2025,TWILIO SENDGRID,7372,SAN FRANCISCO,CA,US,,299.00,Engineering
TXN-2017,14/03/2022,VMWARE INC,7372,PALO ALTO,CA,US,,12400.00,IT-Infrastructure
TXN-2018,02/05/2025,VMWARE *SUBSCRIPTION,7372,PALO ALTO,CA,US,,13980.00,IT-Infrastructure
TXN-2019,11/06/2025,SBUX STORE 04417,5814,SEATTLE,WA,US,,68.40,Travel-Meals
TXN-2020,17/06/2025,DELTA AIR 00627719284,4511,ATLANTA,GA,US,,1842.30,Travel-Air
TXN-2021,18/06/2025,COURTYARD BY MARRIOT,7011,ATLANTA,GA,US,,912.00,Travel-Lodging
TXN-2022,24/06/2025,UBER *EATS 8827,5814,SAN FRANCISCO,CA,US,,84.12,Travel-Meals
TXN-2023,30/06/2025,APPLE.COM/BILL,5734,CUPERTINO,CA,US,apple.com,29.99,IT-Software
TXN-2024,02/07/2025,APL*ITUNES.COM/BILL,5735,CUPERTINO,CA,US,,14.99,IT-Software
TXN-2025,27/06/2025,APPLE BANK FOR SAVINGS WIRE FEE,6012,NEW YORK,NY,US,,35.00,Finance-Fees
TXN-2026,03/07/2025,SQ *NORTHWIND CATERIN,5812,SEATTLE,WA,US,,2340.00,Office-Events
TXN-2027,11/07/2025,MARRIOTT ATLANTA AIR,7011,ATLANTA,GA,US,,1204.00,Travel-Lodging
TXN-2028,12/07/2025,AMZ*KINDLE SVCS,5942,AMZN.COM/BILL,WA,US,,9.99,Office-Supplies
TXN-2029,07/07/2025,CITY OF SEATTLE PARKING,9399,SEATTLE,WA,US,,18.00,Travel-Ground
TXN-2030,08/07/2025,IRS USATAXPYMT,9311,OGDEN,UT,US,,12400.00,Finance-Tax
TXN-2031,09/07/2025,WA STATE DEPT LICENSING,9399,OLYMPIA,WA,US,,220.00,Finance-Fees
TXN-2032,10/07/2025,ACH DEBIT PAYROLL FUNDING,6012,,,US,,88200.00,Payroll
TXN-2033,13/07/2025,SQ *COFFEE CORNER,5814,BELLEVUE,WA,US,,42.10,Travel-Meals
TXN-2034,14/07/2025,TST* THE TAVERN - SEA,5812,SEATTLE,WA,US,,186.55,Office-Events
TXN-2035,15/07/2025,PAYPAL *SUPPLIESCO,5943,SAN JOSE,CA,US,,410.00,Office-Supplies
TXN-2036,16/07/2025,IN *ACME OFFICE SUPPLY,5943,PORTLAND,OR,US,,655.20,Office-Supplies
TXN-2037,17/07/2025,DELTA DENTAL OF WA,6300,SEATTLE,WA,US,,4820.00,HR-Benefits
TXN-2038,18/07/2025,APPLE ORCHARD BISTRO,5812,WENATCHEE,WA,US,,143.75,Office-Events
